minecraft:allay_spawn_egg  = {id: "minecraft:allay"}
minecraft:armadillo_spawn_egg  = {id: "minecraft:armadillo"}
minecraft:axolotl_spawn_egg  = {id: "minecraft:axolotl"}
minecraft:bat_spawn_egg  = {id: "minecraft:bat"}
minecraft:bee_spawn_egg  = {id: "minecraft:bee"}
minecraft:blaze_spawn_egg  = {id: "minecraft:blaze"}
minecraft:bogged_spawn_egg  = {id: "minecraft:bogged"}
minecraft:breeze_spawn_egg  = {id: "minecraft:breeze"}
minecraft:camel_spawn_egg  = {id: "minecraft:camel"}
minecraft:cat_spawn_egg  = {id: "minecraft:cat"}
minecraft:cave_spider_spawn_egg  = {id: "minecraft:cave_spider"}
minecraft:chicken_spawn_egg  = {id: "minecraft:chicken"}
minecraft:cod_spawn_egg  = {id: "minecraft:cod"}
minecraft:copper_golem_spawn_egg  = {id: "minecraft:copper_golem"}
minecraft:cow_spawn_egg  = {id: "minecraft:cow"}
minecraft:creaking_spawn_egg  = {id: "minecraft:creaking"}
minecraft:creeper_spawn_egg  = {id: "minecraft:creeper"}
minecraft:dolphin_spawn_egg  = {id: "minecraft:dolphin"}
minecraft:donkey_spawn_egg  = {id: "minecraft:donkey"}
minecraft:drowned_spawn_egg  = {id: "minecraft:drowned"}
minecraft:elder_guardian_spawn_egg  = {id: "minecraft:elder_guardian"}
minecraft:ender_dragon_spawn_egg  = {id: "minecraft:ender_dragon"}
minecraft:enderman_spawn_egg  = {id: "minecraft:enderman"}
minecraft:endermite_spawn_egg  = {id: "minecraft:endermite"}
minecraft:evoker_spawn_egg  = {id: "minecraft:evoker"}
minecraft:fox_spawn_egg  = {id: "minecraft:fox"}
minecraft:frog_spawn_egg  = {id: "minecraft:frog"}
minecraft:ghast_spawn_egg  = {id: "minecraft:ghast"}
minecraft:glow_squid_spawn_egg  = {id: "minecraft:glow_squid"}
minecraft:goat_spawn_egg  = {id: "minecraft:goat"}
minecraft:guardian_spawn_egg  = {id: "minecraft:guardian"}
minecraft:happy_ghast_spawn_egg  = {id: "minecraft:happy_ghast"}
minecraft:hoglin_spawn_egg  = {id: "minecraft:hoglin"}
minecraft:horse_spawn_egg  = {id: "minecraft:horse"}
minecraft:husk_spawn_egg  = {id: "minecraft:husk"}
minecraft:iron_golem_spawn_egg  = {id: "minecraft:iron_golem"}
minecraft:llama_spawn_egg  = {id: "minecraft:llama"}
minecraft:magma_cube_spawn_egg  = {id: "minecraft:magma_cube"}
minecraft:mooshroom_spawn_egg  = {id: "minecraft:mooshroom"}
minecraft:mule_spawn_egg  = {id: "minecraft:mule"}
minecraft:ocelot_spawn_egg  = {id: "minecraft:ocelot"}
minecraft:panda_spawn_egg  = {id: "minecraft:panda"}
minecraft:parrot_spawn_egg  = {id: "minecraft:parrot"}
minecraft:phantom_spawn_egg  = {id: "minecraft:phantom"}
minecraft:pig_spawn_egg  = {id: "minecraft:pig"}
minecraft:piglin_brute_spawn_egg  = {id: "minecraft:piglin_brute"}
minecraft:piglin_spawn_egg  = {id: "minecraft:piglin"}
minecraft:pillager_spawn_egg  = {id: "minecraft:pillager"}
minecraft:polar_bear_spawn_egg  = {id: "minecraft:polar_bear"}
minecraft:pufferfish_spawn_egg  = {id: "minecraft:pufferfish"}
minecraft:rabbit_spawn_egg  = {id: "minecraft:rabbit"}
minecraft:ravager_spawn_egg  = {id: "minecraft:ravager"}
minecraft:salmon_spawn_egg  = {id: "minecraft:salmon"}
minecraft:sheep_spawn_egg  = {id: "minecraft:sheep"}
minecraft:shulker_spawn_egg  = {id: "minecraft:shulker"}
minecraft:silverfish_spawn_egg  = {id: "minecraft:silverfish"}
minecraft:skeleton_horse_spawn_egg  = {id: "minecraft:skeleton_horse"}
minecraft:skeleton_spawn_egg  = {id: "minecraft:skeleton"}
minecraft:slime_spawn_egg  = {id: "minecraft:slime"}
minecraft:sniffer_spawn_egg  = {id: "minecraft:sniffer"}
minecraft:snow_golem_spawn_egg  = {id: "minecraft:snow_golem"}
minecraft:spider_spawn_egg  = {id: "minecraft:spider"}
minecraft:squid_spawn_egg  = {id: "minecraft:squid"}
minecraft:stray_spawn_egg  = {id: "minecraft:stray"}
minecraft:strider_spawn_egg  = {id: "minecraft:strider"}
minecraft:tadpole_spawn_egg  = {id: "minecraft:tadpole"}
minecraft:trader_llama_spawn_egg  = {id: "minecraft:trader_llama"}
minecraft:tropical_fish_spawn_egg  = {id: "minecraft:tropical_fish"}
minecraft:turtle_spawn_egg  = {id: "minecraft:turtle"}
minecraft:vex_spawn_egg  = {id: "minecraft:vex"}
minecraft:villager_spawn_egg  = {id: "minecraft:villager"}
minecraft:vindicator_spawn_egg  = {id: "minecraft:vindicator"}
minecraft:wandering_trader_spawn_egg  = {id: "minecraft:wandering_trader"}
minecraft:warden_spawn_egg  = {id: "minecraft:warden"}
minecraft:witch_spawn_egg  = {id: "minecraft:witch"}
minecraft:wither_skeleton_spawn_egg  = {id: "minecraft:wither_skeleton"}
minecraft:wither_spawn_egg  = {id: "minecraft:wither"}
minecraft:wolf_spawn_egg  = {id: "minecraft:wolf"}
minecraft:zoglin_spawn_egg  = {id: "minecraft:zoglin"}
minecraft:zombie_horse_spawn_egg  = {id: "minecraft:zombie_horse"}
minecraft:zombie_spawn_egg  = {id: "minecraft:zombie"}
minecraft:zombie_villager_spawn_egg  = {id: "minecraft:zombie_villager"}
minecraft:zombified_piglin_spawn_egg  = {id: "minecraft:zombified_piglin"}
