"Name","Count","Chance","Weight","Comment"
,,,,
"2 to 4 time","--","--","--",
"minecraft:diamond","1..3","6.4%","5/78",
"minecraft:iron_ingot","1..5","6.4%","5/78",
"minecraft:gold_ingot","1..3","19.2%","15/78",
"minecraft:golden_sword","1","6.4%","5/78",
"minecraft:golden_chestplate","1","6.4%","5/78",
"minecraft:flint_and_steel","1","6.4%","5/78",
"minecraft:nether_wart","3..7","6.4%","5/78",
"minecraft:saddle","1","12.8%","10/78",
"minecraft:golden_horse_armor","1","10.3%","8/78",
"minecraft:copper_horse_armor","1","6.4%","5/78",
"minecraft:iron_horse_armor","1","6.4%","5/78",
"minecraft:diamond_horse_armor","1","3.8%","3/78",
"minecraft:obsidian","2..4","2.6%","2/78",
——,——,——,——,——
"1 time","--","--","--",
"empty",,"93.3%","14/15",
"minecraft:rib_armor_trim_smithing_template","1","6.7%","1/15",
